LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(µm),(µm),(µm),(sec),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID2000,2000,0,-1,52.12009675,53.72591511,2,1,1,5,1,r=11;g=11;b=0,141.8734273,94.48030853,20.41769028,1377.238403,4438793.919,128.6648534,0.119165181,0.234815258
ID2384,2384,27,-1,51.95700582,23.11500259,12,1,1,5,1,r=11;g=11;b=0,109.3089231,73.9225769,23.50375748,708.425415,3419948.276,88.97479517,0.182711429,0.379581935
ID2257,2257,20,-1,53.50950599,38.15700427,4,1,1,5,1,r=11;g=11;b=0,123.4586698,67.51075745,23.8244648,1182.703369,3862651.401,137.3644328,0.130952944,0.208136392
ID2002,2002,1,-1,52.52155134,55.53246077,2,1,1,5,1,r=11;g=11;b=0,147.049377,94.92486572,20.41769028,1377.238403,4600733.858,135.9701824,0.143433823,0.271325145
ID2708,2708,55,-1,42.28445928,26.02554837,6,1,1,5,1,r=11;g=12;b=0,109.6160104,60.54640198,14.41497898,1728.53418,3429556.117,134.4034172,0.215684797,0.289395801
ID2197,2197,14,-1,56.82150636,46.16100517,4,1,1,5,1,r=11;g=11;b=0,164.8491597,101.8714676,20.79640961,1248.260742,5157635.658,164.9164926,0.243853857,0.391933978
ID2393,2393,28,-1,53.06100594,24.03500269,11,1,1,5,1,r=11;g=11;b=0,115.7734808,75.94448853,23.50375748,783.5967407,3622204.892,97.73161291,0.196013488,0.388287937
ID2330,2330,24,-1,48.09300539,23.94300268,12,1,1,5,1,r=11;g=11;b=0,99.50295161,67.49060059,27.37309074,672.7905273,3113148.847,77.66012557,0.176771185,0.384934927
ID2650,2650,50,-1,43.02045936,28.8357305,4,1,1,5,1,r=11;g=12;b=0,113.8309666,59.00125885,14.41497898,2033.599243,3561429.453,161.2105394,0.17633534,0.211692369
ID2204,2204,15,-1,57.82200648,48.05850538,4,1,1,5,1,r=11;g=11;b=0,158.4185794,99.66358185,20.79640961,1297.03833,4956442.095,154.8456333,0.216690725,0.364415862
ID2528,2528,40,-1,40.41100453,37.4670042,2,1,1,5,1,r=11;g=12;b=0,174.9463163,82.72982788,14.75439072,2253.638428,5473545.397,243.7226981,0.297309217,0.329005903
ID2656,2656,51,-1,39.40736805,33.58627649,3,1,1,5,1,r=11;g=12;b=0,150.5173435,70.06091309,15.63695431,2253.638428,4709236.126,227.8504344,0.248313695,0.262811047
ID2784,2784,60,-1,37.1324587,14.45027435,9,1,1,5,1,r=11;g=12;b=0,85.16647549,65.60079193,25.93595886,564.2315063,2664603.519,57.60670552,0.128086147,0.335726426
ID2848,2848,65,-1,34.18845837,9.030637375,11,1,1,5,1,r=11;g=12;b=0,87.43857782,68.34073639,22.69626808,568.4277954,2735690.784,56.58421653,0.136666364,0.371592043
ID2338,2338,25,-1,43.99900493,18.7910021,17,1,1,5,1,r=11;g=11;b=0,84.22755614,62.1209259,24.12591934,470.1694336,2635227.549,58.41773316,0.126410517,0.323613035
ID2148,2148,11,-1,55.59100623,52.50900588,3,1,1,5,1,r=11;g=11;b=0,141.548536,101.4701233,24.50049019,1377.238403,4428629.047,113.7908697,0.132229678,0.290550994
ID2724,2724,56,-1,35.05827665,17.66191107,9,1,1,5,1,r=11;g=12;b=0,84.47035769,61.32003784,22.85427856,564.2315063,2642824.081,61.7209448,0.149137625,0.355235976
ID2788,2788,61,-1,32.78336731,14.85172894,10,1,1,5,1,r=11;g=12;b=0,80.26232265,59.3247261,25.93595886,564.2315063,2511167.289,57.15049211,0.115220255,0.290195002
ID2213,2213,16,-1,56.58000634,44.47050498,4,1,1,5,1,r=11;g=11;b=0,169.1134494,103.750946,20.79640961,1277.335571,5291052.491,171.4872521,0.266646131,0.415198989
ID2469,2469,35,-1,45.09464141,40.41100453,2,1,1,5,1,r=11;g=12;b=0,156.298189,68.94165802,18.11666298,1969.671997,4890101.44,200.9949915,0.235790543,0.296742821
ID2278,2278,21,-1,52.47450588,36.50100409,6,1,1,5,1,r=11;g=11;b=0,102.7399457,54.03015137,24.37560654,1182.703369,3214424.681,122.0408255,0.057127932,0.090988215
